Date,Calcium,Magnesium,Potassium,Sodium,Chlorides,Nitrates,Sulfates,CalciumLoad_g,MagnesiumLoad_g,PotassiumLoad_g,SodiumLoad_g,ChloridesLoad_g,NitratesLoad_g,SulfatesLoad_g,Discharge,LogQ,Precip_1D,Precip_3D,Precip_7D,Precip_14D,D5TE_VWC_5cm_Avg,D5TE_VWC_100cm_Avg,Temp_anomaly_14D,Turbidity,GWE,Temperature,LE_li_wpl,LEsmooth,LogQ10
8/30/21 11:30,2.07,1.42,0.06,0.65,0.84,0.15,0.38,5.7546,3.9476,0.1668,1.807,2.3352,0.417,1.0564,2.78,0.444044796,0,0,0,0,0.353,0.322,-0.822916667,0.15918,619.775,25.25,182.26525,156.8595298,0.459769316
8/30/21 12:00,2.07,1.42,0.05,0.65,0.84,0.15,0.38,5.796,3.976,0.14,1.82,2.352,0.42,1.064,2.8,0.447158031,0,0,0,0,0.353,0.322,-0.79,0.15918,619.78,25.25,175.02165,151.1121901,0.459271834
8/30/21 12:30,2.07,1.42,0.05,0.65,0.84,0.15,0.39,5.6925,3.905,0.1375,1.7875,2.31,0.4125,1.0725,2.75,0.439332694,0,0,0,0,0.3525,0.322,-0.759615385,0.15918,619.785,25.25,244.3308,146.4954056,0.458521634
8/30/21 13:00,2.07,1.42,0.06,0.64,0.84,0.15,0.39,5.7546,3.9476,0.1668,1.7792,2.3352,0.417,1.0842,2.78,0.444044796,0,0,0,0,0.353,0.322,-0.731481481,0.15918,619.79,25.25,290.0029,144.8487712,0.457993973
8/30/21 13:30,2.07,1.42,0.05,0.64,0.84,0.15,0.39,5.796,3.976,0.14,1.792,2.352,0.42,1.092,2.8,0.447158031,0,0,0,0,0.353,0.322,-0.705357143,0.15918,619.79,25.25,320.58965,142.7704781,0.457611595
8/30/21 14:00,2.07,1.43,0.05,0.64,0.84,0.15,0.39,5.6511,3.9039,0.1365,1.7472,2.2932,0.4095,1.0647,2.73,0.436162647,0,0,0,0,0.353,0.322,-0.560344828,0.15918,619.79,25.375,325.22505,140.5047091,0.456889343
8/30/21 14:30,2.07,1.42,0.06,0.64,0.84,0.15,0.39,5.7546,3.9476,0.1668,1.7792,2.3352,0.417,1.0842,2.78,0.444044796,0,0,0,0,0.353,0.322,-0.541666667,0.15918,619.79,25.375,209.958,142.1237263,0.456467255
8/30/21 15:00,2.07,1.425,0.055,0.64,0.84,0.15,0.39,5.6925,3.91875,0.15125,1.76,2.31,0.4125,1.0725,2.75,0.439332694,0,0,0,0,0.353,0.322,-0.403225806,0.15918,619.79,25.5,261.85955,140.9567798,0.455924951
8/30/21 15:30,2.07,1.43,0.06,0.64,0.84,0.15,0.39,5.6718,3.9182,0.1644,1.7536,2.3016,0.411,1.0686,2.74,0.437750563,0,0,0,0,0.353,0.322,-0.390625,0.15918,619.79,25.5,181.201,135.6258056,0.455368364
8/30/21 16:00,2.07,1.42,0.06,0.64,0.84,0.15,0.39,5.6511,3.8766,0.1638,1.7472,2.2932,0.4095,1.0647,2.73,0.436162647,0,0,0,0,0.352,0.322,-0.378787879,0.15918,619.79,25.5,107.22,130.8112022,0.454798681
8/30/21 16:30,2.07,1.43,0.05,0.64,0.84,0.15,0.39,5.6511,3.9039,0.1365,1.7472,2.2932,0.4095,1.0647,2.73,0.436162647,0,0,0,0,0.351,0.322,0.481617647,0.15918,619.79,26.375,137.092775,128.6502651,0.454261824
8/30/21 17:00,2.06,1.43,0.05,0.64,0.84,0.15,0.39,5.6032,3.8896,0.136,1.7408,2.2848,0.408,1.0608,2.72,0.434568904,0,0,0,0,0.35,0.322,0.467857143,0.15918,619.79,26.375,113.51855,127.3768275,0.453711387
8/30/21 17:30,2.06,1.42,0.06,0.64,0.84,0.15,0.39,5.5826,3.8482,0.1626,1.7344,2.2764,0.4065,1.0569,2.71,0.432969291,0,0,0,0,0.3495,0.322,0.454861111,0.15918,619.79,26.375,60.23557,126.2740925,0.453148395
8/30/21 18:00,2.06,1.42,0.05,0.64,0.84,0.15,0.39,5.562,3.834,0.135,1.728,2.268,0.405,1.053,2.7,0.431363764,0,0,0,0,0.3485,0.322,0.442567568,0.15918,619.79,26.375,56.404295,127.7671761,0.452573764
8/30/21 18:30,2.06,1.43,0.05,0.64,0.84,0.15,0.39,5.5208,3.8324,0.134,1.7152,2.2512,0.402,1.0452,2.68,0.428134794,0,0,0,0,0.3475,0.322,0.552631579,0.15918,619.79,26.5,18.27915,126.279169,0.451947943
8/30/21 19:00,2.06,1.43,0.06,0.63,0.84,0.14,0.39,5.4796,3.8038,0.1596,1.6758,2.2344,0.3724,1.0374,2.66,0.424881637,0,0,0,0,0.3465,0.322,0.782051282,0.15918,619.79,26.75,18.9811235,126.1804423,0.451274598
8/30/21 19:30,2.06,1.43,0.06,0.63,0.84,0.14,0.39,5.5208,3.8324,0.1608,1.6884,2.2512,0.3752,1.0452,2.68,0.428134794,0,0,0,0,0.346,0.322,0.7625,0.15918,619.79,26.75,2.605508,126.2652136,0.450710878
8/30/21 20:00,2.06,1.43,0.05,0.63,0.83,0.14,0.39,5.4796,3.8038,0.133,1.6758,2.2078,0.3724,1.0374,2.66,0.424881637,0,0,0,0,0.345,0.322,0.743902439,0.15918,619.79,26.75,2.023878,126.1432088,0.450098833
8/30/21 20:30,2.06,1.43,0.05,0.63,0.83,0.14,0.39,5.4796,3.8038,0.133,1.6758,2.2078,0.3724,1.0374,2.66,0.424881637,0,0,0,0,0.344,0.322,0.726190476,0.15918,619.79,26.75,-0.6696598,121.9161132,0.449515131
8/30/21 21:00,2.05,1.43,0.05,0.63,0.83,0.14,0.39,5.3505,3.7323,0.1305,1.6443,2.1663,0.3654,1.0179,2.61,0.416640507,0,0,0,0,0.3435,0.322,0.587209302,0.15918,619.79,26.625,-6.2827035,117.7806675,0.448778199
8/30/21 21:30,2.05,1.42,0.06,0.63,0.83,0.14,0.39,5.3915,3.7346,0.1578,1.6569,2.1829,0.3682,1.0257,2.63,0.419955748,0,0,0,0,0.343,0.322,0.451704545,0.15918,619.79,26.5,-16.415455,113.5870386,0.448143944
8/30/21 22:00,2.05,1.42,0.05,0.63,0.83,0.14,0.39,5.289,3.6636,0.129,1.6254,2.1414,0.3612,1.0062,2.58,0.411619706,0,0,0,0,0.342,0.322,0.441666667,0.15918,619.79,26.5,-25.173415,109.3821764,0.447364789
8/30/21 22:30,2.048,1.422,0.052,0.63,0.83,0.14,0.388,5.31456,3.69009,0.13494,1.63485,2.15385,0.3633,1.00686,2.595,0.414137362,0,0,0,0,0.3415,0.322,0.309782609,0.1345215,619.79,26.375,-37.05694,105.0751436,0.446668837
8/30/21 23:30,2.044,1.426,0.056,0.63,0.83,0.14,0.384,5.33484,3.72186,0.14616,1.6443,2.1663,0.3654,1.00224,2.61,0.416640507,0,0,0,0,0.34,0.322,0.177083333,0.109863,619.79,26.25,-73.36253,102.9231274,0.445458246
8/31/21 4:00,2,1.4,0.05,0.64,0.84,0.13,0.38,4.98,3.486,0.1245,1.5936,2.0916,0.3237,0.9462,2.49,0.396199347,0,0,0,0,0.333,0.322,-0.189692982,0.109863,619.8,25.875,-39.8531,102.0892335,0.439235711
8/31/21 7:00,2.02,1.41,0.05,0.66,0.86,0.13,0.37,4.9288,3.4404,0.122,1.6104,2.0984,0.3172,0.9028,2.44,0.387389826,0,0,0,0,0.331,0.322,-0.526785714,0.109863,619.79,25.5,-2.9617305,105.6117464,0.43513877
8/31/21 7:30,2.02,1.41,0.06,0.66,0.86,0.13,0.37,5.0298,3.5109,0.1494,1.6434,2.1414,0.3237,0.9213,2.49,0.396199347,0,0,0,0,0.331,0.322,-0.641601563,0.109863,619.79,25.375,1.533965,105.590974,0.43455643
8/31/21 8:00,2.02,1.41,0.05,0.66,0.86,0.13,0.37,4.9692,3.4686,0.123,1.6236,2.1156,0.3198,0.9102,2.46,0.390935107,0,0,0,0,0.3315,0.322,-0.754807692,0.109863,619.79,25.25,52.767125,105.9242462,0.433917465
8/31/21 8:30,2.02,1.41,0.06,0.67,0.86,0.13,0.37,4.9288,3.4404,0.1464,1.6348,2.0984,0.3172,0.9028,2.44,0.387389826,0,0,0,0,0.332,0.322,-0.743371212,0.109863,619.79,25.25,50.09826,104.6832459,0.433248436
8/31/21 9:00,2.02,1.405,0.055,0.665,0.865,0.13,0.37,4.8884,3.4001,0.1331,1.6093,2.0933,0.3146,0.8954,2.42,0.383815366,0,0,0,0,0.332,0.322,-0.855410448,0.109863,619.79,25.125,74.88035,103.8066902,0.432550509
8/31/21 9:30,2.02,1.405,0.06,0.67,0.865,0.13,0.37,4.9692,3.4563,0.1476,1.6482,2.1279,0.3198,0.9102,2.46,0.390935107,0,0,0,0,0.332,0.322,-0.842830882,0.109863,619.795,25.125,142.37885,99.67145487,0.431966532
8/31/21 10:00,2.01,1.4,0.05,0.67,0.87,0.13,0.37,4.8039,3.346,0.1195,1.6013,2.0793,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.3325,0.322,-0.953804348,0.109863,619.8,25,160.45375,97.53599311,0.431235532
8/31/21 10:30,2.01,1.39,0.05,0.67,0.87,0.13,0.37,4.8642,3.3638,0.121,1.6214,2.1054,0.3146,0.8954,2.42,0.383815366,0,0,0,0,0.333,0.322,-1.063392857,0.109863,619.8,24.875,163.82075,97.55927693,0.4305933
8/31/21 11:00,2.01,1.4,0.05,0.68,0.87,0.13,0.37,4.9044,3.416,0.122,1.6592,2.1228,0.3172,0.9028,2.44,0.387389826,0,0,0,0,0.3335,0.322,-1.048415493,0.109863,619.8,24.875,176.503,97.86691811,0.430013701
8/31/21 11:30,2.02,1.41,0.06,0.68,0.87,0.13,0.37,4.8278,3.3699,0.1434,1.6252,2.0793,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.334,0.322,-1.157118056,0.109863,619.8,24.75,129.9009,96.32679017,0.429337251
8/31/21 12:00,2.01,1.4,0.06,0.68,0.87,0.13,0.37,4.8039,3.346,0.1434,1.6252,2.0793,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.334,0.322,-1.264554795,0.109863,619.8,24.625,189.7306,96.75940634,0.428678321
8/31/21 12:30,2.01,1.4,0.055,0.68,0.88,0.13,0.37,4.8642,3.388,0.1331,1.6456,2.1296,0.3146,0.8954,2.42,0.383815366,0,0,0,0,0.334,0.322,-1.247466216,0.109863,619.805,24.625,312.4563,98.76309752,0.428101945
8/31/21 13:00,2.01,1.4,0.05,0.69,0.88,0.13,0.37,4.8642,3.388,0.121,1.6698,2.1296,0.3146,0.8954,2.42,0.383815366,0,0,0,0,0.334,0.322,-1.230833333,0.109863,619.81,24.625,165.60335,95.10428723,0.427540203
8/31/21 13:30,2.01,1.4,0.06,0.69,0.88,0.13,0.37,4.7637,3.318,0.1422,1.6353,2.0856,0.3081,0.8769,2.37,0.374748346,0,0,0,0,0.334,0.322,-1.214638158,0.109863,619.81,24.625,319.1589,95.06220634,0.426885639
8/31/21 14:00,2.01,1.4,0.06,0.69,0.88,0.13,0.37,4.7637,3.318,0.1422,1.6353,2.0856,0.3081,0.8769,2.37,0.374748346,0,0,0,0,0.334,0.322,-1.075487013,0.109863,619.81,24.75,183.62745,90.89757105,0.426247127
8/31/21 14:30,2.01,1.4,0.06,0.69,0.89,0.13,0.37,4.8039,3.346,0.1434,1.6491,2.1271,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.334,0.322,-1.061698718,0.109863,619.815,24.75,250.9202,92.10234164,0.425665873
8/31/21 15:00,2.01,1.4,0.06,0.7,0.89,0.13,0.37,4.7637,3.318,0.1422,1.659,2.1093,0.3081,0.8769,2.37,0.374748346,0,0,0,0,0.334,0.322,-0.924841772,0.109863,619.82,24.875,381.5359,95.62223429,0.42505727
8/31/21 15:30,2,1.39,0.06,0.7,0.89,0.13,0.37,4.78,3.3221,0.1434,1.673,2.1271,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.333,0.322,-0.78984375,0.109863,619.82,25,242.7143,97.43144899,0.424503914
8/31/21 16:00,2.01,1.4,0.06,0.7,0.9,0.13,0.37,4.8039,3.346,0.1434,1.673,2.151,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.332,0.322,-0.656635802,0.109863,619.82,25.125,350.18,104.5773313,0.423963541
8/31/21 16:30,2.01,1.4,0.06,0.71,0.9,0.13,0.37,4.8039,3.346,0.1434,1.6969,2.151,0.3107,0.8843,2.39,0.378397901,0,0,0,0,0.3315,0.322,-0.648628049,0.15918,619.825,25.125,179.15075,105.8143306,0.423435699
8/31/21 17:00,2.01,1.4,0.06,0.71,0.9,0.12,0.37,4.8039,3.346,0.1434,1.6969,2.151,0.2868,0.8843,2.39,0.378397901,0,0,0,0,0.331,0.322,-0.640813253,0.15918,619.83,25.125,127.14125,106.2149983,0.422919957
8/31/21 17:30,2.01,1.4,0.06,0.71,0.91,0.13,0.37,4.7637,3.318,0.1422,1.6827,2.1567,0.3081,0.8769,2.37,0.374748346,0,0,0,0,0.33,0.322,-0.509672619,0.15918,619.83,25.25,109.63315,107.6678683,0.422376806
8/31/21 18:00,2.01,1.4,0.06,0.72,0.91,0.12,0.37,4.8039,3.346,0.1434,1.7208,2.1749,0.2868,0.8843,2.39,0.378397901,0,0,0,0,0.329,0.322,-0.503676471,0.15918,619.83,25.25,26.08642,106.7761661,0.421884463
8/31/21 18:30,2.02,1.41,0.06,0.72,0.91,0.12,0.38,4.7874,3.3417,0.1422,1.7064,2.1567,0.2844,0.9006,2.37,0.374748346,0,0,0,0,0.328,0.322,-0.250726744,0.15918,619.825,25.5,64.011945,108.1212483,0.421364754
8/31/21 19:00,2.01,1.4,0.06,0.72,0.91,0.12,0.38,4.7637,3.318,0.1422,1.7064,2.1567,0.2844,0.9006,2.37,0.374748346,0,0,0,0,0.327,0.322,-0.247844828,0.15918,619.82,25.5,73.748625,109.7320571,0.420856391
8/31/21 19:30,2.02,1.4,0.06,0.72,0.92,0.12,0.38,4.6864,3.248,0.1392,1.6704,2.1344,0.2784,0.8816,2.32,0.365487985,0,0,0,0,0.326,0.322,-0.245028409,0.15918,619.82,25.5,25.97573,110.4194166,0.420265259
8/31/21 20:00,2.02,1.4,0.06,0.72,0.92,0.12,0.38,4.646,3.22,0.138,1.656,2.116,0.276,0.874,2.3,0.361727836,0,0,0,0,0.3255,0.322,-0.242275281,0.139648,619.82,25.5,21.662478,110.9970225,0.419649499
8/31/21 20:30,2.01,1.4,0.06,0.72,0.92,0.12,0.38,4.6632,3.248,0.1392,1.6704,2.1344,0.2784,0.8816,2.32,0.365487985,0,0,0,0,0.325,0.322,0.007638889,0.139648,619.815,25.75,44.055105,112.3124567,0.419083348
8/31/21 21:00,2.02,1.41,0.06,0.72,0.92,0.12,0.38,4.6864,3.2712,0.1392,1.6704,2.1344,0.2784,0.8816,2.32,0.365487985,0,0,0,0,0.324,0.322,-0.981456044,0.15918,619.81,24.75,36.2637,113.5638215,0.418528926
8/31/21 21:30,2.02,1.41,0.06,0.73,0.92,0.12,0.38,4.747,3.3135,0.141,1.7155,2.162,0.282,0.893,2.35,0.371067862,0,0,0,0,0.3235,0.322,-0.105298913,0.5,619.81,25.625,46.094975,115.4023636,0.418039959
8/31/21 22:00,2.02,1.4,0.06,0.73,0.92,0.12,0.38,4.6864,3.248,0.1392,1.6936,2.1344,0.2784,0.8816,2.32,0.365487985,0,0,0,0,0.3225,0.322,-0.598790323,0.419922,619.81,25.125,40.30484,117.3281946,0.417507407
8/31/21 22:30,2.02,1.401428571,0.06,0.73,0.92,0.121428571,0.38,4.660428571,3.233295918,0.138428571,1.684214286,2.122571429,0.280153061,0.876714286,2.307142857,0.363074487,0,0,0,0,0.322,0.322,-0.57475304,0.377023,619.81,25.14285714,24.00585,119.124159,0.416962812
8/31/21 23:00,2.02,1.402857143,0.06,0.73,0.92,0.122857143,0.38,4.634457143,3.218555102,0.137657143,1.674828571,2.110742857,0.281869388,0.871828571,2.294285714,0.360647501,0,0,0,0,0.321,0.322,-0.551033835,0.334124,619.81,25.16071429,30.22637,116.5842222,0.416406489
8/31/21 23:30,2.02,1.404285714,0.06,0.73,0.92,0.124285714,0.38,4.608485714,3.203777551,0.136885714,1.665442857,2.098914286,0.28354898,0.866942857,2.281428571,0.358206876,0,0,0,0,0.321,0.322,-0.527622768,0.291225,619.81,25.17857143,33.332495,119.6326515,0.415838738
9/1/21 0:00,2.02,1.405714286,0.06,0.73,0.92,0.125714286,0.38,4.582514286,3.188963265,0.136114286,1.656057143,2.087085714,0.285191837,0.862057143,2.268571429,0.355752458,0,0,0,0,0.32,0.322,-0.504510309,0.248326,619.81,25.19642857,23.35042,116.9581451,0.415259847
9/1/21 0:30,2.02,1.407142857,0.06,0.73,0.92,0.127142857,0.38,4.556542857,3.174112245,0.135342857,1.646671429,2.075257143,0.286797959,0.857171429,2.255714286,0.35328409,0,0,0,0,0.32,0.322,-0.481687318,0.205427,619.81,25.21428571,22.108655,114.3946453,0.414670093
9/1/21 1:00,2.02,1.408571429,0.06,0.73,0.92,0.128571429,0.38,4.530571429,3.15922449,0.134571429,1.637285714,2.063428571,0.288367347,0.852285714,2.242857143,0.350801612,0,0,0,0,0.319,0.322,-0.459145022,0.162528,619.81,25.23214286,18.19373,111.8630423,0.414069737
9/1/21 1:30,2.02,1.41,0.06,0.73,0.92,0.13,0.38,4.5046,3.1443,0.1338,1.6279,2.0516,0.2899,0.8474,2.23,0.348304863,0,0,0,0,0.319,0.322,-0.436875,0.119629,619.81,25.25,23.727015,109.6031442,0.413459032
9/1/21 2:00,2.02,1.4,0.06,0.72,0.91,0.12,0.37,4.6056,3.192,0.1368,1.6416,2.0748,0.2736,0.8436,2.28,0.357934847,0,0,0,0,0.3185,0.322,-0.432549505,0.119629,619.81,25.25,11.315198,107.1459455,0.412942672
9/1/21 2:30,2.02,1.4,0.06,0.71,0.91,0.12,0.37,4.6056,3.192,0.1368,1.6188,2.0748,0.2736,0.8436,2.28,0.357934847,0,0,0,0,0.318,0.322,-0.552083333,0.119629,619.81,25.125,3.0535249,104.607106,0.41243584
9/1/21 3:00,2.01,1.4,0.06,0.71,0.9,0.12,0.37,4.4823,3.122,0.1338,1.5833,2.007,0.2676,0.8251,2.23,0.348304863,0,0,0,0,0.3175,0.322,-0.546723301,0.119629,619.81,25.125,6.968695,102.2823819,0.411856612
9/1/21 3:30,2.01,1.4,0.06,0.71,0.9,0.12,0.37,4.4421,3.094,0.1326,1.5691,1.989,0.2652,0.8177,2.21,0.344392274,0,0,0,0,0.317,0.322,-0.541466346,0.119629,619.805,25.125,3.417209,99.98319185,0.411255375
9/1/21 4:00,2.01,1.4,0.06,0.7,0.89,0.13,0.37,4.4823,3.122,0.1338,1.561,1.9847,0.2899,0.8251,2.23,0.348304863,0,0,0,0,0.317,0.322,-0.660119048,0.119629,619.8,25,11.045625,101.1668831,0.410696913
